nazwa,krs,nip,regon,adres,nr_lokalu,kod_pocztowy,miejscowosc,forma_prawna,data_rejestracji,szer,dlug
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""BATORY""",0000198403,5250006609,00138241700000,+GIORDANA+BRUNA+32+WARSZAWA,,02-594,WARSZAWA,SPÓŁDZIELNIA,18.03.2004,52.206978,20.99955853115509
"SPÓŁDZIELNIA MIESZKANIOWA ""WIGOR""",0000199944,1130395954,01189847800000,FRENKLA+3+WARSZAWA,1,04-914,WARSZAWA,SPÓŁDZIELNIA,16.03.2004,52.1624784,21.211658553773322
"SPÓŁDZIELNIA MIESZKANIOWA ""PRZANOWSKIEGO""",0000199766,5272242582,01495167000000,PRZANOWSKIEGO+4+WARSZAWA,51,01-457,WARSZAWA,SPÓŁDZIELNIA,15.03.2004,52.23753855,20.934017998687807
"SPÓŁDZIELCZE BIURO PROJEKTÓW ""SDIS-PROJEKT""",0000199886,5250003344,00201110800000,CZARNOMORSKA+13+WARSZAWA,,02-758,WARSZAWA,SPÓŁDZIELNIA,12.03.2004,52.17984895,21.04571703650135
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""SPÓLNOTA MIESZKANIOWA""",0000198901,5250006259,00049038100000,FILTROWA+81+WARSZAWA,13,02-032,WARSZAWA,SPÓŁDZIELNIA,12.03.2004,52.21880415,20.98705678050542
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""PEWNOŚĆ""",0000198793,5252083488,00048998100000,ALEJA+3-GO+MAJA+14+WARSZAWA,5B,00-381,WARSZAWA,SPÓŁDZIELNIA,09.03.2004,n,n
"SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA ""IMPERIUM""",0000198722,5251001175,01115239400000,ODROWĄŻA+9+WARSZAWA,,03-310,WARSZAWA,SPÓŁDZIELNIA,05.03.2004,52.275397749999996,21.029541004270044
"SPÓŁDZIELNIA MIESZKANIOWA ""WŁODARZEWSKA-ZA PARKIEM""",0000198483,5262753275,01568738200000,WŁODARZEWSKA+51F+WARSZAWA,,02-384,WARSZAWA,SPÓŁDZIELNIA,05.03.2004,52.19935405,20.958683386202065
"SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA ""SŁAW""",0000197564,5251000218,00049012200000,BRAZYLIJSKA+8+WARSZAWA,50,03-946,WARSZAWA,SPÓŁDZIELNIA,27.02.2004,52.23016045,21.063484335702945
"SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA ""NADZIEJA""",0000196140,5251629301,00049131100000,SŁOWACKIEGO+25+WARSZAWA,,01-592,WARSZAWA,SPÓŁDZIELNIA,24.02.2004,52.242643099999995,21.21745600380845
"SPÓŁDZIELNIA MIESZKANIOWA ""KOŃSKI JAR - NUTKI""",0000195328,5251000017,01209622600000,NUTKI+2+WARSZAWA,2,02-785,WARSZAWA,SPÓŁDZIELNIA,17.02.2004,52.1621037,21.0225504
"SPÓŁDZIELNIA MIESZKANIOWA ""RADNA""",0000193500,5250012455,00647216000000,RADNA+15A+WARSZAWA,,00-341,WARSZAWA,SPÓŁDZIELNIA,13.02.2004,52.2404942,21.02377241950277
"SPÓŁDZIELNIA MIESZKANIOWA ""ORDYNACKA""",0000194254,5250012225,00141339400000,TAMKA+49+WARSZAWA,13,00-355,WARSZAWA,SPÓŁDZIELNIA,11.02.2004,52.2361509,21.0208525
"SPÓŁDZIELNIA MIESZKANIOWA ""FENIX""",0000193837,5250012892,00049110400000,PLAC+WILSONA+4+WARSZAWA,,01-626,WARSZAWA,SPÓŁDZIELNIA,10.02.2004,52.2694155,20.9848529
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""U SIEBIE II""",0000192908,5261670506,00048992300000,+NIEPODLEGŁOŚCI+217+WARSZAWA,,02-087,WARSZAWA,SPÓŁDZIELNIA,06.02.2004,52.2175735,21.004619
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""PRASA-BLOK"" W LIKWIDACJI",0000191903,5211317535,00049155800000,WORONICZA+20+WARSZAWA,,02-625,WARSZAWA,SPÓŁDZIELNIA,02.02.2004,52.1897639,21.019902196363134
"SPÓŁDZIELNIA MIESZKANIOWA ""PROJEKTANT""",0000191119,5210524462,01056070200000,LUTOCIŃSKA+6+WARSZAWA,,02-656,WARSZAWA,SPÓŁDZIELNIA,28.01.2004,52.1858917,21.01798058493143
"SPÓŁDZIELNIA RZEMIEŚLNICZA ""PRYMAT""",0000191104,5250004993,00125386100000,+JAGIELLOŃSKA+78+WARSZAWA,1.54,03-301,WARSZAWA,SPÓŁDZIELNIA,28.01.2004,52.269046349999996,21.020157259722936
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""S.U.P.""",0000189480,1180051599,00049043500000,GDAŃSKA+2+WARSZAWA,,01-633,WARSZAWA,SPÓŁDZIELNIA,27.01.2004,52.27280295,20.974405476510164
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA W WARSZAWIE UL.MOCHNACKIEGO 17,0000189858,5261739244,00049084300000,MOCHNACKIEGO+17+WARSZAWA,,02-041,WARSZAWA,SPÓŁDZIELNIA,22.01.2004,52.2172034,20.9865377
ZJEDNOCZONA SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA,0000189285,5250012900,00049156400000,WASZYNGTONA+12/14+WARSZAWA,4,03-910,WARSZAWA,SPÓŁDZIELNIA,22.01.2004,52.2388279,21.0563993
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""DOM GÓRNOŚLĄSKA 20""",0000188534,5261709929,00049177100000,GÓRNOŚLĄSKA+20+WARSZAWA,,00-484,WARSZAWA,SPÓŁDZIELNIA,22.01.2004,52.22458245,21.029874292082916
"SPÓŁDZIELNIA SPOŻYWCÓW ""MOKPOL""",0000187152,5250004757,00088023100000,KONSTANCIŃSKA+2+WARSZAWA,24,02-942,WARSZAWA,SPÓŁDZIELNIA,22.01.2004,52.1864669,21.0626493
"SPÓŁDZIELNIA MIESZKANIOWA ""CEMIDOM""",0000189242,5211179493,01091235400000,KOLADY+1+WARSZAWA,37,02-691,WARSZAWA,SPÓŁDZIELNIA,20.01.2004,52.17300815,21.00166887387048
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""VISTULA""",0000188459,5250010781,00098961400000,ŁOWICKA+25+WARSZAWA,P 2,02-502,WARSZAWA,SPÓŁDZIELNIA,16.01.2004,52.2008645,21.00472294352871
"""SPÓŁDZIELNIA PRACY USŁUG KOMINIARSKICH W WARSZAWIE""",0000188086,5250006093,00082362900000,SOLEC+54+WARSZAWA,,00-382,WARSZAWA,SPÓŁDZIELNIA,14.01.2004,52.23665255,21.02941148995535
SPÓŁDZIELNIA MIESZKANIOWA PRACOWNIKÓW PRYWATNYCH I WOLNYCH ZAWODÓW,0000187327,5261675886,00049031700000,FILTROWA+63+WARSZAWA,,02-056,WARSZAWA,SPÓŁDZIELNIA,14.01.2004,52.2188595,20.9964905
"SPÓŁDZIELNIA MIESZKANIOWA ""WPB""",0000187199,5261055103,01034929000000,MIELCZARSKIEGO+7+WARSZAWA,,02-798,WARSZAWA,SPÓŁDZIELNIA,10.01.2004,52.1301356,21.059959532989964
"SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA ""NAŁĘCZOWSKA""",0000187194,5251000106,00091388700000,CIECHOCIŃSKA+15+WARSZAWA,,02-924,WARSZAWA,SPÓŁDZIELNIA,10.01.2004,52.1776154,21.06651662390641
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA PRACOWNIKÓW OŚWIATOWYCH,0000186168,5251000460,00048989200000,AKADEMICKA+3+WARSZAWA,108,02-038,WARSZAWA,SPÓŁDZIELNIA,07.01.2004,52.21836545,20.985652195468255
"SPÓŁDZIELNIA PRACY RĘKODZIEŁA ARTYSTYCZNEGO ""MODA I STYL"" W LIKWIDACJI",0000185745,5250001575,00039940400000,+BRACKA+22+WARSZAWA,,00-028,WARSZAWA,SPÓŁDZIELNIA,06.01.2004,52.2319744,21.0164981
"SPÓŁDZIELNIA DOMÓW JEDNORODZINNYCH ""PACHNĄCA""",0000185236,9512096605,01563188400000,PACHNĄCA+95+WARSZAWA,16,02-790,WARSZAWA,SPÓŁDZIELNIA,31.12.2003,52.1460493,21.06453241025563
"SPÓŁDZIELNIA MIESZKANIOWA ""SKARPA MARYMONCKA""",0000179615,1181713246,01563053100000,ZABŁOCIŃSKA+10+WARSZAWA,,01-697,WARSZAWA,SPÓŁDZIELNIA,17.12.2003,52.2784905,20.9615971
"SPÓŁDZIELNIA INWALIDÓW ""MAZOWIANKA"" W LIKWIDACJI",0000180961,5250002089,00045583500000,+CHEŁMŻYŃSKA+148+WARSZAWA,,04-464,WARSZAWA,SPÓŁDZIELNIA,12.12.2003,52.2572801,21.127539828945423
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""OPERATOR""",0000180765,5361895185,01184470300000,ALEJA+DZIECI+POLSKICH+71A/1+WARSZAWA,,04-730,WARSZAWA,SPÓŁDZIELNIA,05.12.2003,52.2105018,21.205160839026256
"LOKATORSKA SPÓŁDZIELNIA MIESZKANIOWA ""HELENÓW""",0000181683,5252199015,01719526900000,HAFCIARSKA+80/86+WARSZAWA,,04-725,WARSZAWA,SPÓŁDZIELNIA,03.12.2003,52.2168656,21.1905453
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""GRENADIERÓW""",0000179583,1132165187,01606974600000,+STANÓW+ZJEDNOCZONYCH+40+WARSZAWA,,04-036,WARSZAWA,SPÓŁDZIELNIA,25.11.2003,52.2362709,21.0802226
"SPÓŁDZIELNIA MIESZKANIOWA ""ORZEŁ""",0000180383,5221052854,01036281800000,WOJCIECHOWSKIEGO+34+WARSZAWA,,02-495,WARSZAWA,SPÓŁDZIELNIA,20.11.2003,52.197156050000004,20.87191127656053
"SPÓŁDZIELNIA MIESZKANIOWA ""LEXDUR""",0000179466,5250012030,00136013700000,E.+ORZESZKOWEJ+8+WARSZAWA,14,02-374,WARSZAWA,SPÓŁDZIELNIA,17.11.2003,n,n
"SPÓŁDZIELNIA MIESZKANIOWA ""MOTOROWA 1""",0000178993,1132452917,01560009100000,MOTOROWA+1+WARSZAWA,,04-035,WARSZAWA,SPÓŁDZIELNIA,15.11.2003,52.2332208,21.082743473870988
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""OPTYK""",0000178632,1131308331,00049049300000,GROCHOWSKA+54+WARSZAWA,,04-282,WARSZAWA,SPÓŁDZIELNIA,05.11.2003,52.2399903,21.1152356
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""BLOK IBM""",0000177510,5250012656,00049105000000,PASTEURA+4/6+WARSZAWA,,02-093,WARSZAWA,SPÓŁDZIELNIA,27.10.2003,52.2150666,20.98182476073731
"SPÓŁDZIELNIA MIESZKANIOWA ""POTOCKA""",0000175978,5252280007,01558961000000,POTOCKA+37+WARSZAWA,3,01-631,WARSZAWA,SPÓŁDZIELNIA,23.10.2003,52.272852400000005,20.977277948018347
SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA URZĘDNIKÓW POCZTY TELEGRAFU I TELEFONU,0000177021,5251939935,00049022800000,DOBRA+8/10+WARSZAWA,,00-388,WARSZAWA,SPÓŁDZIELNIA,21.10.2003,52.2368413,21.0304995
"SPÓŁDZIELNIA MIESZKANIOWA ""PURA""",0000176382,5210414319,01054330700000,RACŁAWICKA+10+WARSZAWA,,02-601,WARSZAWA,SPÓŁDZIELNIA,15.10.2003,52.1996783,21.0207386
SPÓŁDZIELNIA MIESZKANIOWA MARYMONT POTOK,0000176147,5252279642,01558180900000,MICKIEWICZA+64+WARSZAWA,89,01-650,WARSZAWA,SPÓŁDZIELNIA,15.10.2003,52.276539299999996,20.981624645633
"SPÓŁDZIELNIA MIESZKANIOWA ""POZNAŃSKA 23""",0000175162,5262736041,01559126800000,POZNAŃSKA+23+WARSZAWA,36,00-685,WARSZAWA,SPÓŁDZIELNIA,10.10.2003,52.2265082,21.0108828
SPÓŁDZIELNIA MIESZKANIOWA PRZEDSIĘBIORSTWA BUDOWNICTWA MIEJSKIEGO WARSZAWA-POŁUDNIE,0000175747,5261647051,01039845000000,EKOLOGICZNA+15+WARSZAWA,67,02-798,WARSZAWA,SPÓŁDZIELNIA,09.10.2003,52.1295102,21.057907179245284
"SPÓŁDZIELNIA MIESZKANIOWA ""TYLŻYCKA POTOK""",0000175205,5252280059,01558051400000,TYLŻYCKA+11+WARSZAWA,112,01-656,WARSZAWA,SPÓŁDZIELNIA,07.10.2003,52.2794433,20.982231015909637
SPÓŁDZIELNIA MIESZKANIOWA POTOK DOLNY,0000174195,5252279671,01557778800000,POTOCKA+4+WARSZAWA,,01-652,WARSZAWA,SPÓŁDZIELNIA,03.10.2003,52.2788696,20.9843351
"SPÓŁDZIELNIA MIESZKANIOWA ""POTOK GÓRNY""",0000173963,5252279576,01557726800000,MICKIEWICZA+74+WARSZAWA,97,01-650,WARSZAWA,SPÓŁDZIELNIA,02.10.2003,52.27902205,20.98065852241211
"SPÓŁDZIELNIA MIESZKANIOWA ""POTOCKA 60""",0000174194,5252277850,01557769900000,POTOCKA+60+WARSZAWA,A,01-652,WARSZAWA,SPÓŁDZIELNIA,29.09.2003,52.2730423,20.976506552796053
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""ZACISZE DOMOWE""",0000172890,1131466113,00049046400000,GRAJEWSKA+2+WARSZAWA,,03-766,WARSZAWA,SPÓŁDZIELNIA,26.09.2003,52.25991035,21.061066869303314
"SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA ""YUWEX""",0000173843,1130363701,01201684200000,KOWELSKA+10+WARSZAWA,,03-432,WARSZAWA,SPÓŁDZIELNIA,22.09.2003,52.262586799999994,21.040392291724448
"SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA ""WYDZIELONA""",0000173049,5251000796,01207415300000,+ZBIGNIEWA+ROMASZEWSKIEGO+11A+WARSZAWA,,01-874,WARSZAWA,SPÓŁDZIELNIA,22.09.2003,52.272440700000004,20.954826169441528
"SPÓŁDZIELNIA MIESZKANIOWA ""ŻERAŃ""",0000172884,5241882240,01248535300000,KOWALCZYKA+3+WARSZAWA,,03-193,WARSZAWA,SPÓŁDZIELNIA,22.09.2003,52.305053,20.9890314
"SPÓŁDZIELNIA MIESZKANIOWA ""JASNODWORSKA""",0000172558,5250012337,00128508000000,JASNODWORSKA+5+WARSZAWA,,01-745,WARSZAWA,SPÓŁDZIELNIA,10.09.2003,52.26146,20.9587850546379
"SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA ""WSPÓLNA OSTOJA""",0000171797,5251000164,00049032300000,FILTROWA+67+WARSZAWA,29,02-055,WARSZAWA,SPÓŁDZIELNIA,02.09.2003,52.2188745,20.992390194863674
"SPÓŁDZIELNIA MIESZKANIOWA ""ADER""",0000170979,1181370817,01296091400000,MARII+DĄBROWSKIEJ+15+WARSZAWA,,01-903,WARSZAWA,SPÓŁDZIELNIA,22.08.2003,52.2734791,20.9309438
"SPÓŁDZIELNIA MIESZKANIOWA PIASKI ""D""",0000169630,1181694508,01553732300000,ZGRUPOWANIA+ŻMIJA+7+WARSZAWA,,01-875,WARSZAWA,SPÓŁDZIELNIA,07.08.2003,52.2690483,20.9390525
SPÓŁDZIELNIA MIESZKANIOWA PIASKI C,0000169592,1181693489,01553045600000,REYMONTA+12+WARSZAWA,,01-842,WARSZAWA,SPÓŁDZIELNIA,06.08.2003,52.2746952,20.9381829
"FARMACEUTYCZNO-CHEMICZNA SPÓŁDZIELNIA PRACY ""GALENUS""",0000169521,5250001405,00098406000000,HUTNICZA+8+WARSZAWA,,03-791,WARSZAWA,SPÓŁDZIELNIA,05.08.2003,52.2653595,21.06981617482647
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA PRACOWNIKÓW POCZTOWYCH W WARSZAWIE,0000168017,5272024804,00049059900000,HRUBIESZOWSKA+7+WARSZAWA,4,01-209,WARSZAWA,SPÓŁDZIELNIA,17.07.2003,52.22989785,20.979280817434585
"SPÓŁDZIELNIA MIESZKANIOWA ""WSPÓŁPRACA""",0000162820,5250009973,00108346500000,SREBRNA+3+WARSZAWA,,00-810,WARSZAWA,SPÓŁDZIELNIA,16.07.2003,52.2273232,20.9904003
"SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA ""CHEŁMSKA""",0000165653,5212941299,00622601800000,WĘGRZYNA+2+WARSZAWA,,00-769,WARSZAWA,SPÓŁDZIELNIA,27.06.2003,52.1982322,21.0420682
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""INŻYNIERÓW KOMUNIKACJI""",0000161994,5250010999,00048987000000,A.+PŁUGA+1/3+WARSZAWA,,02-047,WARSZAWA,SPÓŁDZIELNIA,26.06.2003,n,n
"SPÓŁDZIELNIA MIESZKANIOWA ""TELEKIEGO 12""",0000165306,9512080478,01550681900000,PALA+TELEKIEGO+12+WARSZAWA,,02-797,WARSZAWA,SPÓŁDZIELNIA,24.06.2003,52.1343125,21.0559755
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""SPÓLNOTA""",0000165604,5252111078,00049018000000,CZARNIECKIEGO+6+WARSZAWA,,01-511,WARSZAWA,SPÓŁDZIELNIA,23.06.2003,52.2513923,21.2388619987362
"SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA ""NOWE ZJEDNOCZENIE""",0000163711,5251007019,00049023400000,DOBRA+22/24+WARSZAWA,,00-388,WARSZAWA,SPÓŁDZIELNIA,18.06.2003,52.2382389,21.0285935
"SPÓŁDZIELNIA MIESZKANIOWA ""SYRENA"" W WARSZAWIE",0000162967,5250012550,00049081400000,MIODOWA+12+WARSZAWA,44,00-251,WARSZAWA,SPÓŁDZIELNIA,30.05.2003,52.2472252,21.0100202
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""WOLSKA ŻELAZNA BRAMA""",0000159859,5250006667,00622527200000,KROCHMALNA+32+WARSZAWA,,00-864,WARSZAWA,SPÓŁDZIELNIA,27.05.2003,52.2370267,20.9927503
"SPÓŁDZIELNIA MIESZKANIOWA ""DOMINO""",0000162550,5251001063,01117128500000,ALTERNATYWY+4+WARSZAWA,,02-775,WARSZAWA,SPÓŁDZIELNIA,26.05.2003,52.149549,21.056044
"SPÓŁDZIELNIA MIESZKANIOWA ""PLATYNOWA 8""",0000158554,5250006816,01201766900000,PLATYNOWA+8+WARSZAWA,,00-808,WARSZAWA,SPÓŁDZIELNIA,13.05.2003,52.2265383,20.9893822
"SPÓŁDZIELNIA MIESZKANIOWA ""KABATY""",0000160434,5250010031,00123356800000,PACHNĄCA+83+WARSZAWA,41,02-790,WARSZAWA,SPÓŁDZIELNIA,05.05.2003,52.1459421,21.063801102474848
"LEKARSKA SPÓŁDZIELNIA MIESZKANIOWA ""KONSYLIUM""",0000159883,9512021783,00140827500000,WĄWOZOWA+21+WARSZAWA,,02-796,WARSZAWA,SPÓŁDZIELNIA,24.04.2003,52.1305361,21.063095502929183
"SPÓŁDZIELNA MIESZKANIOWA ""KOPERNIKA 6""",0000158329,5252264304,01546801300000,KOPERNIKA+6+WARSZAWA,,00-367,WARSZAWA,SPÓŁDZIELNIA,17.04.2003,52.2343909,21.021319
"SPÓŁDZIELNIA MIESZKANIOWA ""ALEJE UJAZDOWSKIE""",0000158188,5262695075,01546501000000,ALEJE+UJAZDOWSKIE+8+WARSZAWA,,00-478,WARSZAWA,SPÓŁDZIELNIA,15.04.2003,52.2251329,21.0241339
"SPÓŁDZIELNIA MIESZKANIOWA ""FINANSOWIEC""",0000157204,5250011148,00088293900000,ZEGADŁOWICZA+1+WARSZAWA,39 A,01-214,WARSZAWA,SPÓŁDZIELNIA,10.04.2003,52.22782655,20.971713686603437
"NAUCZYCIELSKA SPÓŁDZIELNIA MIESZKANIOWA ""PRZY WIEJSKIEJ""",0000157590,5262695336,01546519600000,WIEJSKA+20+WARSZAWA,83,00-490,WARSZAWA,SPÓŁDZIELNIA,09.04.2003,52.2273046,21.0246852
"SPÓŁDZIELNIA BUDOWNICTWA MIESZKANIOWEGO ""PSTRYK""",0000158200,5250009890,00132322500000,MŁYNARSKA+35+WARSZAWA,,01-175,WARSZAWA,SPÓŁDZIELNIA,08.04.2003,52.2400183,20.970626
"SPÓŁDZIELNIA MIESZKANIOWA ""WILCZA 44""",0000157587,5262695425,01546522700000,WILCZA+44+WARSZAWA,,00-679,WARSZAWA,SPÓŁDZIELNIA,08.04.2003,52.2244245,21.0129892
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""ZACHÓD""",0000153934,5250006785,00691364100000,CHMIELNA+116/118+WARSZAWA,,00-801,WARSZAWA,SPÓŁDZIELNIA,28.03.2003,52.228671500000004,20.996579673868062
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""POWIŚLE""",0000148044,5250006880,00623281700000,ALEJA+3+MAJA+12+WARSZAWA,,00-391,WARSZAWA,SPÓŁDZIELNIA,28.03.2003,52.2346746,21.03202228126393
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""TRZYNASTKA-BIS""",0000155293,9511707828,00621114600000,POLNEJ+RÓŻY+9+WARSZAWA,,02-798,WARSZAWA,SPÓŁDZIELNIA,14.03.2003,52.129213750000005,21.06254162687584
"WŁASNOŚCIOWA SPÓŁDZIELNIA MIESZKANIOWA ""SEMAFOR""",0000154131,5250011852,00049025700000,EMILII+PLATER+27+WARSZAWA,65,00-688,WARSZAWA,SPÓŁDZIELNIA,11.03.2003,52.2255444,21.0066965
"SPÓŁDZIELNIA MIESZKANIOWA ""WŁASNE MIESZKANIE""",0000154550,5250007000,00049121600000,RASZYŃSKA+58+WARSZAWA,,02-033,WARSZAWA,SPÓŁDZIELNIA,07.03.2003,52.217013449999996,20.987815268415314
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA KOLPORTERÓW PRASY ""RUCH""",0000154472,5261883047,00049051800000,GRÓJECKA+26+WARSZAWA,,02-301,WARSZAWA,SPÓŁDZIELNIA,07.03.2003,52.221481,20.9852596
"SPÓŁDZIELNIA MIESZKANIOWA ""PLAC TEATRALNY""",0000152088,5250006414,00623339500000,SOLIDARNOŚCI+71+WARSZAWA,,00-090,WARSZAWA,SPÓŁDZIELNIA,27.02.2003,52.245565150000004,21.00684065066859
WARSZAWSKA SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA PRACOWNIKÓW UMYSŁOWYCH,0000151848,5250012395,00048990000000,+NIEPODLEGŁOŚCI+159+WARSZAWA,74,02-555,WARSZAWA,SPÓŁDZIELNIA,27.02.2003,52.2062346,21.0083551
"SPÓŁDZIELNIA MIESZKANIOWA ""MODZELEWSKIEGO""",0000150153,5212764621,01151813900000,MODZELEWSKIEGO+54A+WARSZAWA,,02-679,WARSZAWA,SPÓŁDZIELNIA,24.02.2003,52.180841799999996,21.015717798837105
NADWIŚLAŃSKA SPÓŁDZIELNIA MIESZKANIOWA,0000149486,5250010634,00672031000000,+PABLA+PICASSA+1+WARSZAWA,,03-126,WARSZAWA,SPÓŁDZIELNIA,20.02.2003,52.3117393,20.956892965983606
"SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA ""BARSKA 5""",0000151841,5261667361,01202326200000,BARSKA+5+WARSZAWA,,02-315,WARSZAWA,SPÓŁDZIELNIA,17.02.2003,52.21853035,20.981384110708753
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""BANDERA""",0000150261,5251000543,00049045800000,GLOGERA+4+WARSZAWA,,02-051,WARSZAWA,SPÓŁDZIELNIA,13.02.2003,52.2166551,20.98331323865854
"WYTWÓRNIA APARATURY MEDYCZNEJ ""WAMED"" SPECJALISTYCZNA SPÓŁDZIELNIA PRACY",0000150736,5250001463,00040119900000,ODROWĄŻA+9+WARSZAWA,,03-310,WARSZAWA,SPÓŁDZIELNIA,11.02.2003,52.275397749999996,21.029541004270044
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""PRACOWNIKÓW ŁĄCZNOŚCI""",0000150178,5251000537,00049151200000,T.+HOŁÓWKI+3+WARSZAWA,20,00-749,WARSZAWA,SPÓŁDZIELNIA,05.02.2003,n,n
"SPÓŁDZIELNIA MIESZKANIOWA ""MSZCZONOWSKA""",0000149618,5250012194,01211642000000,JANA+OLBRACHTA+64+WARSZAWA,,01-111,WARSZAWA,SPÓŁDZIELNIA,05.02.2003,52.234386400000005,20.9336633240376
"SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA ""TOK""",0000149677,1180781731,01227153400000,PARANDOWSKIEGO+17+WARSZAWA,,01-699,WARSZAWA,SPÓŁDZIELNIA,30.01.2003,52.28185435,20.96477871831594
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""POD KOPCEM""",0000142762,5250012024,01251795200000,ZWIERZYNIECKA+8B+WARSZAWA,,00-719,WARSZAWA,SPÓŁDZIELNIA,30.01.2003,52.2077284,21.0519227
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""ŻOLIBORZ""",0000142891,5250012521,00049109600000,PLAC+INWALIDÓW+10+WARSZAWA,,01-552,WARSZAWA,SPÓŁDZIELNIA,29.01.2003,52.2651008,20.9904915
"SPÓŁDZIELNIA MIESZKANIOWA ""WOLICKA""",0000148702,5250012722,01252372800000,CZERNIAKOWSKA+28+B+WARSZAWA,,00-714,WARSZAWA,SPÓŁDZIELNIA,24.01.2003,52.2022132,21.0522294
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""KWITNĄCA""",0000148675,1181341052,01019979000000,KWITNĄCA+6+WARSZAWA,34,01-926,WARSZAWA,SPÓŁDZIELNIA,24.01.2003,52.274257750000004,20.917719739551067
"SPÓŁDZIELNIA BUDOWY DOMÓW JEDNORODZINNYCH ""PATIO""",0000147432,5250012691,01045195300000,ZAPŁOCIE+42+E+WARSZAWA,,02-970,WARSZAWA,SPÓŁDZIELNIA,17.01.2003,52.1289115,21.092522550992783
