nazwa,krs,nip,regon,adres,nr_lokalu,kod_pocztowy,miejscowosc,forma_prawna,data_rejestracji,szer,dlug
"SPÓŁDZIELNIA MIESZKANIOWA ""WYŻYNY""",0000074918,9510024814,01047579300000,ST.+KAZURY+5+WARSZAWA,,02-795,WARSZAWA,SPÓŁDZIELNIA,19.12.2001,n,n
"SPÓŁDZIELNIA MIESZKANIOWA - WŁASNOŚCIOWA ""JEDNOŚĆ""",0000073542,9521125418,00136243200000,BISKUPIA+48+WARSZAWA,,04-216,WARSZAWA,SPÓŁDZIELNIA,19.12.2001,52.2413005,21.1218556
"SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA ""OSIEDLE NA SKARPIE""",0000073485,5212405709,00049006200000,BELGIJSKA+3+WARSZAWA,,02-511,WARSZAWA,SPÓŁDZIELNIA,19.12.2001,52.202761249999995,21.026305274302253
"SPÓŁDZIELNIA MIESZKANIOWA ""SZWOLEŻERÓW""",0000073064,5250011869,01150384700000,DRAGONÓW+8+WARSZAWA,,00-467,WARSZAWA,SPÓŁDZIELNIA,19.12.2001,52.21826045,21.043090948500343
"SPÓŁDZIELNIA PRACY ""ARGO - FILM""",0000072720,5250001925,00042389300000,+RYŻOWA+33+A+WARSZAWA,10,02-495,WARSZAWA,SPÓŁDZIELNIA,15.12.2001,52.193413,20.909667796004065
"MAŁA SPÓŁDZIELNIA MIESZKANIOWA ""SAMI""",0000071899,9511871290,01060119200000,EKOLOGICZNA+4+WARSZAWA,,02-798,WARSZAWA,SPÓŁDZIELNIA,12.12.2001,52.1303412,21.0625819
"SPÓŁDZIELNIA MIESZKANIOWA ""JELONKI""",0000069548,5250009950,01104937700000,+POWSTAŃCÓW+ŚLĄSKICH+4A+WARSZAWA,,01-381,WARSZAWA,SPÓŁDZIELNIA,12.12.2001,52.223412100000004,20.9184815
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""ATEŃSKA""",0000069923,1132165537,01607245800000,ARABSKA+9+WARSZAWA,,03-977,WARSZAWA,SPÓŁDZIELNIA,11.12.2001,52.2223466,21.070612174822003
"SPÓŁDZIELNIA MIESZKANIOWA ""WILANÓW""",0000069636,5211122978,00137121800000,DEMBEGO+14+WARSZAWA,,02-796,WARSZAWA,SPÓŁDZIELNIA,07.12.2001,52.1316286,21.07420179515558
"SPÓŁDZIELNIA PRACY ""ORION""",0000068478,5250010410,00042202000000,MANGALIA+4+WARSZAWA,,02-758,WARSZAWA,SPÓŁDZIELNIA,05.12.2001,52.1872607,21.0465796
"SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA ""PRZY ULICY DOBROWOJA""",0000065904,1131949403,00049024000000,DOBROWOJA+12+WARSZAWA,,04-003,WARSZAWA,SPÓŁDZIELNIA,04.12.2001,52.244934549999996,21.079508946218322
"SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA ""NASZA CHATA""",0000061423,5250006650,00089269400000,OSOWSKA+27+WARSZAWA,,04-302,WARSZAWA,SPÓŁDZIELNIA,04.12.2001,52.2440889,21.1072624292219
"""IKAR""SPÓŁDZIELNIA MIESZKANIOWA PRACOWNIKÓW SGGW W WARSZAWIE",0000066718,9511594347,01186455100000,PILECKIEGO+107+WARSZAWA,ADM,02-781,WARSZAWA,SPÓŁDZIELNIA,29.11.2001,52.142375349999995,21.037815834892008
SPÓŁDZIELNIA PRACY SPECJALISTÓW RENTGENOLOGÓW IM. PROF. WITOLDA ZAWADOWSKIEGO,0000065332,5250005768,00084094100000,WARYŃSKIEGO+9+WARSZAWA,,00-655,WARSZAWA,SPÓŁDZIELNIA,26.11.2001,52.220425,21.0150246
"SPÓŁDZIELNIA MIESZKANIOWA ""SZAŁAS""",0000062441,5221894760,00140328900000,CZERWONA+DROGA+5+WARSZAWA,3 A,02-496,WARSZAWA,SPÓŁDZIELNIA,23.11.2001,52.2008498,20.870931757748636
"PRACOWNICZA SPÓŁDZIELNIA MIESZKANIOWA ""IDEALNE MIESZKANIE""",0000063561,5250009921,00087868800000,POLNEJ+RÓŻY+6+WARSZAWA,,02-798,WARSZAWA,SPÓŁDZIELNIA,22.11.2001,52.1282666,21.0636723
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA PRACOWNIKÓW KOMUNIKACJI,0000059564,5250006621,00049146900000,UNIWERSYTECKA+1+WARSZAWA,,02-036,WARSZAWA,SPÓŁDZIELNIA,22.11.2001,52.2168302,20.9872096
"SPÓŁDZIELNIA MIESZKANIOWA ""BUDOWISKO""",0000063956,5220211150,00049064200000,KALISKA+17+WARSZAWA,,02-316,WARSZAWA,SPÓŁDZIELNIA,21.11.2001,52.2206907,20.9806832
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""TARGOWA""",0000057287,5250010628,00623284600000,TARGOWA+26/30+WARSZAWA,,03-733,WARSZAWA,SPÓŁDZIELNIA,20.11.2001,52.2504179,21.04280717056178
"SPÓŁDZIELNIA MIESZKANIOWA "" ASTER - BUD""",0000051619,5251000193,01077573300000,GÓRCZEWSKA+208+WARSZAWA,,01-460,WARSZAWA,SPÓŁDZIELNIA,16.11.2001,52.239505449999996,20.910209626575565
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""NOWY ŚWIAT""",0000060947,5250012604,00049095500000,NOWY+ŚWIAT+30+WARSZAWA,13,00-373,WARSZAWA,SPÓŁDZIELNIA,14.11.2001,52.2333217,21.0196454
"SPÓŁDZIELNIA BUDOWNICTWA MIESZKANIOWEGO ""PERSPEKTYWA"" W WARSZAWIE",0000060686,5261057711,00103786700000,OKRZEI+34+WARSZAWA,,03-710,WARSZAWA,SPÓŁDZIELNIA,14.11.2001,52.2517901,21.0369211
"SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA ""TWÓJ DOM""",0000061605,5251000767,01045574400000,OSOWSKA+27+WARSZAWA,,04-302,WARSZAWA,SPÓŁDZIELNIA,13.11.2001,52.2440889,21.1072624292219
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""SKARPA""",0000061337,5250012685,01251617700000,SMOLNA+8+WARSZAWA,142,00-375,WARSZAWA,SPÓŁDZIELNIA,13.11.2001,52.23371830000001,21.025231033169362
"SPÓŁDZIELNIA MIESZKANIOWA ""OSIEDLE ARTYSTÓW PLASTYKÓW""",0000060624,5250011958,00049039800000,FILTROWA+83+WARSZAWA,,02-032,WARSZAWA,SPÓŁDZIELNIA,10.11.2001,52.2191524,20.9860508
"SPÓŁDZIELNIA MIESZKANIOWA ""WZGÓRZE""",0000057121,5272029115,00049162400000,ZŁOTA+77+WARSZAWA,,00-819,WARSZAWA,SPÓŁDZIELNIA,06.11.2001,52.22890055,20.995881338810122
"SPÓŁDZIELNIA MIESZKANIOWA ""OŚWIATA-OCHOTA""",0000058783,5251000804,00140829800000,K.BOHDANOWICZA+7+WARSZAWA,,02-127,WARSZAWA,SPÓŁDZIELNIA,05.11.2001,n,n
"SPÓŁDZIELNIA MIESZKANIOWA ""KOŁO""",0000056304,5250011013,01105851900000,+ERAZMA+CIOŁKA+17+WARSZAWA,,01-445,WARSZAWA,SPÓŁDZIELNIA,30.10.2001,52.243153750000005,20.944019956485608
"SPÓŁDZIELNIA MIESZKANIOWO - BUDOWLANA ""OSIEDLE KABATY""",0000056262,5251000112,01071210600000,BRONIKOWSKIEGO+9+WARSZAWA,,02-796,WARSZAWA,SPÓŁDZIELNIA,29.10.2001,52.1333364,21.0691747
"SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA "" BASZTA""",0000056744,5261722901,01250340100000,GAWOTA+6+WARSZAWA,17,02-830,WARSZAWA,SPÓŁDZIELNIA,26.10.2001,52.138130000000004,21.013434466560508
"WŁASNOŚCIOWA SPÓŁDZIELNIA MIESZKANIOWA ""WSPÓLNY DACH""",0000055359,5250006472,00049042900000,FRANCUSKA+52+WARSZAWA,2,03-905,WARSZAWA,SPÓŁDZIELNIA,26.10.2001,52.237186449999996,21.052722692353242
"SPÓŁDZIELNIA MIESZKANIOWA ""STAWKI""",0000055749,5250011817,00623700000000,DZIKA+4+WARSZAWA,,00-194,WARSZAWA,SPÓŁDZIELNIA,22.10.2001,52.2528334,20.9877778
"PRACOWNICZA SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA PAN ""AKADEMIA""",0000055027,5250010054,00096065100000,+JANA+SZYMCZAKA+3+WARSZAWA,,01-227,WARSZAWA,SPÓŁDZIELNIA,22.10.2001,52.228785849999994,20.961112540937233
"KRAJOWY ZWIĄZEK REWIZYJNY SPÓŁDZIELNI SPOŻYWCÓW ""SPOŁEM""",0000054061,5250007690,01210207900000,GRAŻYNY+13/15+WARSZAWA,,02-548,WARSZAWA,SPÓŁDZIELNIA,22.10.2001,52.2038215,21.0208395
SPÓŁDZIELNIA ŚWIT,0000053930,5250002132,00045565700000,TAŚMOWA+1+WARSZAWA,,02-677,WARSZAWA,SPÓŁDZIELNIA,18.10.2001,52.17791875,20.988585034206373
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""MIŚ""",0000053555,5250006584,00205313000000,WARSZAWSKA+15+WARSZAWA,162,02-495,WARSZAWA,SPÓŁDZIELNIA,16.10.2001,52.19790365,20.87285403311039
SPÓŁDZIELNIA PIEKARSKO-CIASTKARSKA W WARSZAWIE,0000053005,5250001658,00106227900000,KRAKOWIAKÓW+103+WARSZAWA,,02-255,WARSZAWA,SPÓŁDZIELNIA,12.10.2001,52.190584099999995,20.93334174632058
"STOŁECZNA SPÓŁDZIELNIA MIESZKANIOWA PRACOWNIKÓW SŁUŻBY ZDROWIA ""ESKULAP""",0000047740,5250006302,00107090700000,SOKOŁOWSKA+24+/+26+WARSZAWA,,01 - 142,WARSZAWA,SPÓŁDZIELNIA,12.10.2001,52.23882595,20.959518463384814
"SPÓŁDZIELNIA SPOŻYWCÓW ""SUPERSAM""",0000050738,5250005142,01203458000000,+RACŁAWICKA+146+WARSZAWA,,02-117,WARSZAWA,SPÓŁDZIELNIA,10.10.2001,52.1987658,20.9787513
"SPÓŁDZIELNIA WYDAWNICZA ""CZYTELNIK""",0000051118,5250003982,00027567100000,WIEJSKA+12A+WARSZAWA,,00-490,WARSZAWA,SPÓŁDZIELNIA,09.10.2001,52.22644315,21.02567045540288
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA DOM,0000048636,5262142040,00049001000000,ANDRZEJOWSKA+6/8+WARSZAWA,,02-312,WARSZAWA,SPÓŁDZIELNIA,28.09.2001,52.2209141,20.9819564
"SPÓŁDZIELCZE STOWARZYSZENIE BUDOWY MIESZKAŃ ""ZGODA""",0000047439,5251001181,00049067100000,KRASIŃSKIEGO+21+WARSZAWA,,01-566,WARSZAWA,SPÓŁDZIELNIA,25.09.2001,52.2674648,20.982136714303707
NAUCZYCIELSKA SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA,0000041859,5250006561,00049152900000,GWIAŹDZISTA+13+WARSZAWA,,01-651,WARSZAWA,SPÓŁDZIELNIA,20.09.2001,52.279818,20.984740193368438
"SPÓŁDZIELNIA MIESZKANIOWA ""BATORY-WSCHÓD""",0000037655,5210334891,01105476300000,STEFANA+BATOREGO+39+WARSZAWA,,02-591,WARSZAWA,SPÓŁDZIELNIA,19.09.2001,52.2099911,21.0081412
"SPÓŁDZIELNIA MIESZKANIOWA ""MIŁA""",0000041402,5250006905,01056001000000,ANIELEWICZA+23A+WARSZAWA,,01-026,WARSZAWA,SPÓŁDZIELNIA,12.09.2001,52.2464614,20.987308036834776
"SKŁADNICA IMPORTOWA ARTYKUŁÓW PRZEMYSŁOWYCH ""SAMOPOMOC"" SPÓŁDZIELNIA OSÓB PRAWNYCH",0000041916,5250005202,00038470400000,MARYNARSKA+14+WARSZAWA,,02-674,WARSZAWA,SPÓŁDZIELNIA,10.09.2001,52.18112045,20.99107739048205
"SPÓŁDZIELNIA MIESZKANIOWA ""PODLEŚNA""",0000041813,5250012277,00621516700000,MARYMONCKA+32B+WARSZAWA,20,01-869,WARSZAWA,SPÓŁDZIELNIA,05.09.2001,52.2820655,20.95850743077117
"SPÓŁDZIELNIA MIESZKANIOWA ""SZCZĘŚLIWICE""",0000039464,5251001057,01117737100000,WŁODARZEWSKA+59D+WARSZAWA,,02-384,WARSZAWA,SPÓŁDZIELNIA,29.08.2001,52.2005769,20.954937381837553
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA""MERKURY""",0000038688,5261663044,00647283000000,ALEJA+KOMISJI+EDUKACJI+NARODOWEJ+24+WARSZAWA,,02-797,WARSZAWA,SPÓŁDZIELNIA,27.08.2001,52.134289,21.0635822
"SPÓŁDZIELNIA MIESZKANIOWA "" OŚ SASKA """,0000038475,5250006710,00623341000000,+GRZYBOWSKA+16/22+WARSZAWA,,00-132,WARSZAWA,SPÓŁDZIELNIA,27.08.2001,52.2375648,20.9991228
"SPÓŁDZIELNIA MIESZKANIOWA ""PAX"" W UPADŁOŚCI",0000038220,5250006319,00049106700000,+STANÓW+ZJEDNOCZONYCH+72+WARSZAWA,UŻ. 24,04-036,WARSZAWA,SPÓŁDZIELNIA,24.08.2001,52.243184,21.0851665
"SPÓŁDZIELNIA MIESZKANIOWA ""CENTRUM I""",0000037033,5250012113,00622813500000,ŚWIĘTOKRZYSKA+31/33A+WARSZAWA,,00-049,WARSZAWA,SPÓŁDZIELNIA,22.08.2001,52.2350703,21.0099327
"SPÓŁDZIELNIA MIESZKANIOWA ""NOWODWORSKA""",0000035880,5242402986,01736393300000,NOWODWORSKA+14+E+WARSZAWA,,03-133,WARSZAWA,SPÓŁDZIELNIA,17.08.2001,52.32202995,20.94095770654545
"SPÓŁDZIELNIA ""WOLA""",0000036462,5250002273,00070633200000,GRZYBOWSKA+76/78+WARSZAWA,,00-844,WARSZAWA,SPÓŁDZIELNIA,16.08.2001,52.2357933,20.9969736
"HANDLOWA SPÓŁDZIELNIA PRACY""HURT""",0000032102,5250005372,00217895000000,WOLSKA+84/86+WARSZAWA,,01-141,WARSZAWA,SPÓŁDZIELNIA,16.08.2001,52.2322512,20.9594022
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA NAUCZYCIELI,0000031021,5250011154,01250866300000,KORZONA+115+WARSZAWA,,03-571,WARSZAWA,SPÓŁDZIELNIA,14.08.2001,52.27826025,21.0497921910891
"SPÓŁDZIELNIA MIESZKANIOWA ""PRZY METRZE""",0000033334,9510026546,01048552100000,ALEJA+KOMISJI+EDUKACJI+NARODOWEJ+36+WARSZAWA,U-128,02-797,WARSZAWA,SPÓŁDZIELNIA,03.08.2001,52.1400054,21.0592553
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""SOLNA""",0000032246,5251978674,00097418500000,JANA+PAWŁA+II+38+WARSZAWA,,00-141,WARSZAWA,SPÓŁDZIELNIA,31.07.2001,52.2177024,21.2237216
"SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA ""TORWAR""",0000032164,5250006762,00138400800000,GÓRNOŚLĄSKA+9/11+WARSZAWA,,00 - 443,WARSZAWA,SPÓŁDZIELNIA,30.07.2001,52.225249250000005,21.038570511160273
"SPÓŁDZIELNIA MIESZKANIOWA ""DOMHUT""",0000031897,5250012857,01047472400000,+ZBIGNIEWA+ROMASZEWSKIEGO+6+WARSZAWA,B6,01-892,WARSZAWA,SPÓŁDZIELNIA,27.07.2001,52.2703706,20.9550105
ŚRÓDMIEJSKA SPÓŁDZIELNIA MIESZKANIOWA W UPADŁOŚCI LIKWIDACYJNEJ,0000016725,5250012099,00065751000000,+3+MAJA+12+WARSZAWA,-,00 - 391,WARSZAWA,SPÓŁDZIELNIA,25.07.2001,52.2346746,21.03202228126393
"SPÓŁDZIELNIA MIESZKANIOWA ""ŁAZIENKOWSKA""",0000014693,5250006555,00622224000000,+POLNA+30+WARSZAWA,63,00-635,WARSZAWA,SPÓŁDZIELNIA,25.07.2001,52.2406603,21.189223408826876
SPÓŁDZIELNIA MIESZKANIOWA PRZY MINISTERSTWIE SPRAW WEWNĘTRZNYCH,0000029183,5250006348,00048975100000,RACŁAWICKA+2+WARSZAWA,,02-601,WARSZAWA,SPÓŁDZIELNIA,19.07.2001,52.2002661,21.022967875807588
"LOKATORSKO-WŁASNOŚCIOWA SPÓŁDZIELNIA MIESZKANIOWA ""BUDOWA""",0000027073,5250012515,00049219600000,PLUTONU+TORPEDY+47+WARSZAWA,,02-495,WARSZAWA,SPÓŁDZIELNIA,13.07.2001,52.19318595,20.88779102032744
"WARSZAWSKA SPÓŁDZIELNIA MIESZKANIOWA ""ŻOLIBORZ CENTRALNY""",0000026051,5250012774,00691284800000,ADAMA+PRÓCHNIKA+6+WARSZAWA,,01-585,WARSZAWA,SPÓŁDZIELNIA,06.07.2001,52.26850415,20.981054579619787
"KOSMETYCZNO-LEKARSKA SPÓŁDZIELNIA PRACY ""IZIS""",0000026036,5250005745,00042273500000,ŚNIADECKICH+21+WARSZAWA,16,00-654,WARSZAWA,SPÓŁDZIELNIA,06.07.2001,52.2203737,21.0131267
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""ANDRZEJÓWKA""",0000025981,5262142034,00049000400000,ANDRZEJOWSKA+3+WARSZAWA,,02-312,WARSZAWA,SPÓŁDZIELNIA,06.07.2001,52.220818050000005,20.98156178518775
"SPÓŁDZIELNIA MIESZKANIOWA ""KSAWERÓW""",0000025563,5250011473,01102009500000,ALEJA+NIEPODLEGŁOŚCI+43+WARSZAWA,,02-653,WARSZAWA,SPÓŁDZIELNIA,06.07.2001,52.1873489,21.01728137401092
"SPÓŁDZIELNIA MIESZKANIOWA ""LOKATA""",0000020800,9511621647,01233764100000,NOWOURSYNOWSKA+143J+WARSZAWA,,02-776,WARSZAWA,SPÓŁDZIELNIA,04.07.2001,52.1517496,21.059001601585148
"SPÓŁDZIELNIA MIESZKANIOWA ""OSIEDLE STRYJEŃSKICH""",0000024786,5262558763,01734083700000,STRYJEŃSKICH+8+WARSZAWA,290A,02-791,WARSZAWA,SPÓŁDZIELNIA,03.07.2001,52.1332292,21.055606584755836
"SPÓŁDZIELNIA MIESZKANIOWA ""MURANÓW""",0000023171,5250012478,01211364000000,DZIELNA+10+WARSZAWA,,00-162,WARSZAWA,SPÓŁDZIELNIA,03.07.2001,52.2471486,20.993687967776474
"SPÓŁDZIELNIA MIESZKANIOWA ""ARBUZOWA""",0000024328,5250012975,01210334000000,+KAZIMIERZA+KURATOWSKIEGO+2+WARSZAWA,,02-747,WARSZAWA,SPÓŁDZIELNIA,29.06.2001,52.170845850000006,21.05723654982588
"SPÓŁDZIELNIA BUDOWNICTWA MIESZKANIOWEGO ""ELPOL""",0000023244,9511830026,00135728200000,POD+LIPĄ+1+WARSZAWA,,02-798,WARSZAWA,SPÓŁDZIELNIA,28.06.2001,52.1283699,21.0610056
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""RADAROWA""",0000023347,5251001117,01123043800000,RADAROWA+15+WARSZAWA,,02-137,WARSZAWA,SPÓŁDZIELNIA,27.06.2001,52.1904679,20.967538576571798
"SPÓŁDZIELNIA MIESZKANIOWA ""GOCŁAW-LOTNISKO""",0000021152,5250010060,00092091800000,ORLEGO+LOTU+6+WARSZAWA,,03-982,WARSZAWA,SPÓŁDZIELNIA,26.06.2001,52.227082100000004,21.09152488642828
"""SPOŁEM"" WARSZAWSKA SPÓŁDZIELNIA SPOŻYWCÓW PRAGA POŁUDNIE",0000020644,5250004728,00088025400000,+GROCHOWSKA+207+WARSZAWA,U8,04-077,WARSZAWA,SPÓŁDZIELNIA,21.06.2001,52.2439346,21.0861441
"SPÓŁDZIELNIA MIESZKANIOWA ""GÓRCZEWSKA""",0000012927,5250009536,00107152200000,DOROSZEWSKIEGO+4+WARSZAWA,,01-318,WARSZAWA,SPÓŁDZIELNIA,11.06.2001,52.2381552,20.9017628
"SPÓŁDZIELNIA MIESZKANIOWA ""ŻELAZNA BRAMA""",0000017795,5250006957,00141806100000,PLAC+MIROWSKI+14+WARSZAWA,,00-138,WARSZAWA,SPÓŁDZIELNIA,08.06.2001,52.23920285,20.99656777607609
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""DOM""",0000017484,5250010025,00124169700000,+FASOLOWA+37+WARSZAWA,LU-1,02-482,WARSZAWA,SPÓŁDZIELNIA,08.06.2001,52.1999991,20.90592037521428
"SPÓŁDZIELNIA MIESZKANIOWA ""MIĘDZYNARODOWA"" W WARSZAWIE",0000016111,1132177612,01611735600000,MIĘDZYNARODOWA+44+WARSZAWA+PRAGA+POŁUDNIE,,03-922,WARSZAWA PRAGA POŁUDNIE,SPÓŁDZIELNIA,05.06.2001,52.23400325,21.06659175900875
"SPÓŁDZIELNIA MIESZKANIOWA "" OSIEDLE ZACISZE""",0000017250,5251001034,01111845700000,WOLIŃSKA+17+WARSZAWA,A,03-699,WARSZAWA,SPÓŁDZIELNIA,04.06.2001,52.289358050000004,21.082456475550536
"WARSZAWSKA SPÓŁDZIELNIA GASTRONOMICZNA""CENTRUM""",0000016748,5250004964,00140776100000,WIDOK+24+WARSZAWA,,00 - 023,WARSZAWA,SPÓŁDZIELNIA,04.06.2001,52.23119995,21.012560205155914
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""ŚRÓDMIEŚCIE II""",0000011091,5250012544,00049134000000,SŁUPECKA+4+WARSZAWA,24,02-309,WARSZAWA,SPÓŁDZIELNIA,04.06.2001,52.220643300000006,20.983340074746877
"WARSZAWSKIE ZAKŁADY KALETNICZE ""NOMA"" SPÓŁDZIELNIA INWALIDÓW",0000016219,5250002072,00045577500000,KORKOWA+167+WARSZAWA,,04-549,WARSZAWA,SPÓŁDZIELNIA,01.06.2001,52.241983700000006,21.16233099554224
"SPÓŁDZIELNIA MIESZKANIOWA""WŁODARZEWSKA II""",0000014606,5261134334,01192551900000,WŁODARZEWSKA+53+A+WARSZAWA,,02-384,WARSZAWA,SPÓŁDZIELNIA,31.05.2001,52.2014498,20.957259923299205
"WARSZAWSKA SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""CHOMICZÓWKA""",0000015990,5250011616,01201147700000,PABLA+NERUDY+1+WARSZAWA,,01-926,WARSZAWA,SPÓŁDZIELNIA,30.05.2001,52.2758492,20.9269407
"SPÓŁDZIELNIA MIESZKANIOWA ""NAD POTOKIEM""",0000013073,5250009542,01253629200000,ŁUKOWA+9+WARSZAWA,,02-767,WARSZAWA,SPÓŁDZIELNIA,24.05.2001,52.17473995,21.041971915863783
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""WSPÓLNY TRUD""",0000011836,9511587270,00092090100000,CZAPLI+19+A+WARSZAWA,,02-781,WARSZAWA,SPÓŁDZIELNIA,19.05.2001,52.14946035,21.031235746504265
"SPÓŁDZIELNIA BUDOWNICTWA MIESZKANIOWEGO ""URSYNÓW""",0000011826,5250006354,00049111000000,KOMISJI+EDUKACJI+NARODOWEJ+98+WARSZAWA,,02-777,WARSZAWA,SPÓŁDZIELNIA,19.05.2001,52.1608485,21.03005137833373
"MIESZKANIOWA SPÓŁDZIELNIA WŁASNOŚCIOWA ""NOWY DOM """,0000011731,5250006986,00049063600000,MOKOTOWSKA+67+WARSZAWA,,00- 530,WARSZAWA,SPÓŁDZIELNIA,10.05.2001,52.2270368,21.022091
"SPÓŁDZIELNIA MIESZKANIOWA "" OSIEDLE STARÓWKA""",0000011375,5250012461,01042055600000,SCHILLERA+4+WARSZAWA,,00-248,WARSZAWA,SPÓŁDZIELNIA,09.05.2001,52.2478264,21.006401685619274
"SPÓŁDZIELNIA MIESZKANIOWA ""ARCHITEKT""",0000011347,5271240138,01182695800000,PEŁCZYŃSKIEGO+22E+WARSZAWA,,01-471,WARSZAWA,SPÓŁDZIELNIA,09.05.2001,52.24366355,20.90589249930556
"SPÓŁDZIELNIA MIESZKANIOWA ""ANIN""",0000011330,5251000566,00048985700000,+ROMANA+PAZIŃSKIEGO+6+WARSZAWA,01,04-643,WARSZAWA,SPÓŁDZIELNIA,09.05.2001,52.21523965,21.176039452627307
"SPÓŁDZIELNIA MIESZKANIOWA ""LENTZA 35""",0000010784,5251000980,01059823100000,LENTZA+35+WARSZAWA,,02-956,WARSZAWA,SPÓŁDZIELNIA,09.05.2001,52.1708924,21.071399258032322
"SPÓŁDZIELNIA MIESZKANIOWA ""MOKOTÓW""",0000010365,5250010746,00048974500000,+BALLADYNY+3C+WARSZAWA,,02-553,WARSZAWA,SPÓŁDZIELNIA,09.05.2001,52.200191849999996,21.003063846188585
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA STOKŁOSY,0000010235,5250011361,01105238500000,JASTRZĘBOWSKIEGO+22+WARSZAWA,,02-786,WARSZAWA,SPÓŁDZIELNIA,09.05.2001,52.1616336,21.0369979
"""SPOŁEM"" WARSZAWSKA SPÓŁDZIELNIA SPOŻYWCÓW ŚRÓDMIEŚCIE",0000010740,5250004906,00088027700000,NOWY+ŚWIAT+53+WARSZAWA,,00-042,WARSZAWA,SPÓŁDZIELNIA,08.05.2001,52.235741950000005,21.01804313589345
"WARSZAWSKA SPÓŁDZIELNIA MIESZKANIOWA ""OCHOTA"".",0000005346,5250006779,00049179400000,PRUSZKOWSKA+17+WARSZAWA,--,02-119,WARSZAWA,SPÓŁDZIELNIA,18.04.2001,52.2013485,20.9786298
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA PRACOWNIKÓW SŁUŻBY ZDROWIA,0000006969,5251000721,00049082000000,BRAZYLIJSKA+6+WARSZAWA,49,03-946,WARSZAWA,SPÓŁDZIELNIA,11.04.2001,52.23066745,21.063304884022394
"SPÓŁDZIELNIA MIESZKANIOWA ""OSIEDLE WILANÓW""",0000006346,5250006325,01205720300000,NIEMIROWSKA+1+WARSZAWA,4,02-921,WARSZAWA,SPÓŁDZIELNIA,05.04.2001,52.1756015,21.065039171296043
"SPÓŁDZIELNIA MIESZKANIOWA ""LAZUROWA""",0000006022,5250007106,00623278600000,ROZŁOGI+8+WARSZAWA,,01-310,WARSZAWA,SPÓŁDZIELNIA,04.04.2001,52.223934650000004,20.900473180402514
"SPÓŁDZIELNIA MIESZKANIOWA ""NA SKRAJU""",0000005774,5250011881,01102074100000,+STANISŁAWA+KULCZYŃSKIEGO+14+WARSZAWA,,02-777,WARSZAWA,SPÓŁDZIELNIA,04.04.2001,52.1485783,21.0553382
"SPÓŁDZIELNIA MIESZKANIOWA ""OSIEDLE MŁODYCH""",0000005530,5250011622,00048980500000,GRENADIERÓW+21+WARSZAWA,,04-052,WARSZAWA,SPÓŁDZIELNIA,04.04.2001,52.238954500000006,21.084138934250138
