SPÓŁDZIELNIA MIESZKANIOWA KUKUŁEK;0001060577;5214037859;52648148100000;UL. PUŁAWSKA 77;;02-595;WARSZAWA;;SPÓŁDZIELNIA;28.09.2023;52.20141505;21.024422825319487
SPÓŁDZIELNIA "OWNERSHIP";0001007387;5213997385;52394695600000;UL. GRAŻYNY 13;;02-548;WARSZAWA;;SPÓŁDZIELNIA;16.12.2022;52.2036254;21.0202967
SPÓŁDZIELNIA DOBRZE;0001005489;5213996960;52392760500000;UL. POLNA 18/20;;00-625;WARSZAWA;;SPÓŁDZIELNIA;14.12.2022;52.21601795;21.0183220669522
SPÓŁDZIELNIA MIESZKANIOWA "OSTOJA";0001006590;1133079805;52385832400000;ALEJA STANÓW ZJEDNOCZONYCH 72;UŻ. 24;04-036;WARSZAWA;;SPÓŁDZIELNIA;06.12.2022;52.2436275;21.085082
SPÓŁDZIELNIA PRACY KOOPERATYWA RAZEM;0000980939;5252914759;52252164000000;ALEJA KOMANDOSÓW 33;;04-485;WARSZAWA;;SPÓŁDZIELNIA;07.07.2022;52.2530859;21.168220347874797
SPÓŁDZIELNIA SOCJALNA SŁUSZNA STRAWA;0000913379;5213938247;38986134400000;UL. WAWRZYŃCA ŻUŁAWSKIEGO 4/6;;02-641;WARSZAWA;;SPÓŁDZIELNIA;02.09.2021;52.1908086;20.9917487
SPÓŁDZIELNIA SOCJALNA "CATERIE";0000915297;7011046914;38966338300000;UL. ADOLFA SULIGOWSKIEGO 11/15;8;00-466;WARSZAWA;;SPÓŁDZIELNIA;06.08.2021;52.211339499999994;21.045590366208835
SPÓŁDZIELNIA SOCJALNA OCHOTA;0000899275;5272957648;38893334300000;UL. SZCZĘŚLIWICKA 36;;02-353;WARSZAWA;;SPÓŁDZIELNIA;10.05.2021;52.2182578;20.97149106462691
PLZ SPÓŁDZIELNIA;0000894451;5272955419;38870577700000;UL. GRAŻYNY 13;;02-548;WARSZAWA;;SPÓŁDZIELNIA;15.04.2021;52.2036254;21.0202967
VITALNA SPÓŁDZIELNIA SOCJALNA;0000892358;7011029152;38868781000000;UL. BITWY POD LENINO 13;;01-118;WARSZAWA;;SPÓŁDZIELNIA;14.04.2021;52.2385587;20.944192176103925
SPÓŁDZIELNIA SOCJALNA "GWIAZDKA" W LIKWIDACJI;0000884629;1133028216;38826023000000;UL. JANA ZAMOYSKIEGO 43;U4/315;03-801;WARSZAWA;;SPÓŁDZIELNIA;23.02.2021;52.2477422;21.0488316
SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA "LOKUM";0000771170;5252780425;38257608900000;UL. FLORIAŃSKA 6;02;03-707;WARSZAWA;;SPÓŁDZIELNIA;14.02.2019;52.2523498;21.0339798
SPÓŁDZIELNIA MIESZKANIOWA "KOSZYKOWA 60/62";0000752037;7010875005;38151450200000;UL. KOSZYKOWA 60/62;39;00-673;WARSZAWA;;SPÓŁDZIELNIA;08.10.2018;52.2227226;21.011396
SPÓŁDZIELNIA MIESZKANIOWA "NAŁĘCZOWSKA 50/60";0000749306;5213841418;38143478900000;UL. NAŁĘCZOWSKA 60;;02-922;WARSZAWA;;SPÓŁDZIELNIA;01.10.2018;52.1769424;21.0663354
SPÓŁDZIELNIA SOCJALNA FENIX W WARSZAWIE;0000749174;7182149733;38132841000000;UL. WILLIAMA HEERLEINA LINDLEYA 16;;02-013;WARSZAWA;;SPÓŁDZIELNIA;17.09.2018;52.226278;20.996286
SPÓŁDZIELNIA SOCJALNA DLA ZDROWIA;0000748529;5461394784;38128409000000;UL. DŁUGA 29;;00-238;WARSZAWA;;SPÓŁDZIELNIA;11.09.2018;52.2465383;21.0044545
BIOVALLEY SPÓŁDZIELNIA SOCJALNA;0000742589;5252757863;38087537900000;UL. ZŁOTA 9;14;00-019;WARSZAWA;;SPÓŁDZIELNIA;31.07.2018;52.2327432;21.0116281
SPÓŁDZIELNIA MIESZKANIOWA "NOWA 29";0000740785;5213834826;38081289300000;UL. STUDENCKA 29;;02-735;WARSZAWA;;SPÓŁDZIELNIA;23.07.2018;52.173968200000004;21.029792520116004
SPÓŁDZIELNIA MIESZKANIOWA "ATUTOWA";0000732250;5242865002;38029348200000;UL. ATUTOWA 11;;03-126;WARSZAWA;;SPÓŁDZIELNIA;18.05.2018;52.3167857;20.9546388
SPÓŁDZIELNIA MIESZKANIOWA SZARY DOM;0000696164;9512446057;36833984500000;UL. MELCHIORA WAŃKOWICZA 5B;;02-796;WARSZAWA;;SPÓŁDZIELNIA;22.09.2017;52.1339505;21.064668059389547
PLATINUM OSTRÓDA - SPÓŁDZIELNIA;0000682973;5272811287;36755420500000;UL. WRONIA 45;175;00-870;WARSZAWA;;SPÓŁDZIELNIA;14.06.2017;52.234608;20.9850283
SPÓŁDZIELNIA MIESZKANIOWA "PLACÓWKA 1983";0000657544;1132927036;36634198000000;UL. GROCHOWSKA 244A;;04-368;WARSZAWA;;SPÓŁDZIELNIA;13.01.2017;52.2458002;21.08045110865448
SPÓŁDZIELNIA MIESZKANIOWA "PRZY SADACH";0000644401;5252683314;36579104200000;UL. BRACI ZAŁUSKICH 11;;01-773;WARSZAWA;;SPÓŁDZIELNIA;04.11.2016;52.2697551;20.967174175140187
SPÓŁDZIELNIA SOCJALNA POGŁOS;0000637611;5272780813;36547899000000;UL. SADY ŻOLIBORSKIE 13;23;01-772;WARSZAWA;;SPÓŁDZIELNIA;26.09.2016;52.2661898;20.971655746053603
SPÓŁDZIELNIA SOCJALNA "POŻYWIENIE - DAREM SERCA";0000626144;5252669082;36497383500000;UL. KS. JERZEGO POPIEŁUSZKI 14;117;01-590;WARSZAWA;;SPÓŁDZIELNIA;13.07.2016;52.26937025;20.976370042982047
SPÓŁDZIELNIA SOCJALNA 4SMART;0000608681;9512409352;36401494500000;UL. GROCHOWSKA 178/184;;04-357;WARSZAWA;;SPÓŁDZIELNIA;22.03.2016;52.2453676;21.0899333
SPÓŁDZIELNIA MIESZKANIOWA "SPÓŁDZIELNIA RAZEM";0000597910;5272757808;36360854200000;UL. PAŃSKA 98;72;00-837;WARSZAWA;;SPÓŁDZIELNIA;26.01.2016;52.230768;20.9893643
SPÓŁDZIELNIA MIESZKANIOWA "WSPÓLNY DOM";0000596023;1132901060;36350275000000;UL. SEROCKA 3;25;04-333;WARSZAWA;;SPÓŁDZIELNIA;12.01.2016;52.2434614;21.0985479
SPÓŁDZIELNIA SYSTEMU OCHRONY ZRZESZENIA BPS;0000572997;5272743717;36240726700000;UL. GRZYBOWSKA 81;;00-844;WARSZAWA;;SPÓŁDZIELNIA;31.08.2015;52.2327806;20.9801334
ŁÓDZKA SPÓŁDZIELNIA GRUPA PRODUCENTÓW MLEKA;0000560384;5252622666;36188381800000;UL. HOŻA 66/68;;00-682;WARSZAWA;;SPÓŁDZIELNIA;26.06.2015;52.2252993;21.0095174
SPÓŁDZIELNIA SOCJALNA KOOPERATYWY GROCHOWSKIEJ;0000562918;1132891887;36185146800000;UL. LUDWIKA MICHAŁA PACA 40;;04-386;WARSZAWA;;SPÓŁDZIELNIA;24.06.2015;52.249019700000005;21.083404437249374
SPÓŁDZIELNIA SOCJALNA BIZ W LIKWIDACJI;0000525466;5252599074;14749427000000;DUCHNICKA 3;89;01-796;WARSZAWA;;SPÓŁDZIELNIA;27.10.2014;52.2565482;20.96967781985195
SPÓŁDZIELNIA MIESZKANIOWA KABATY SEGMENTY W LIKWIDACJI;0000511080;9512379993;14725641200000;UL. WITA STWOSZA 50;4A;02-661;WARSZAWA;;SPÓŁDZIELNIA;27.05.2014;52.17894815;21.019618648017115
SPÓŁDZIELNIA SOCJALNA "EDUKATOR";0000504961;5252589354;14723210400000;UL. LUDWIKA RYDYGIERA 8 BUD.19;;01-793;WARSZAWA;;SPÓŁDZIELNIA;12.05.2014;n;n
SPÓŁDZIELNIA SOCJALNA "PIEKIEŁKO";0000502673;6652993734;30267632400000;UL. MARSZAŁKOWSKA 58;15;00-545;WARSZAWA;;SPÓŁDZIELNIA;20.03.2014;52.2238932;21.01585296368421
SPÓŁDZIELNIA SOCJALNA "POŻYTECZNI";0000493256;9512376316;14707087700000;PUSZCZYKA 3;27;02-785;M. ST. WARSZAWA;;SPÓŁDZIELNIA;22.01.2014;52.1575396;21.022410078423103
SPÓŁDZIELNIA SOCJALNA "PIĘKNE MIEJSCE";0000489771;5223011664;14701016000000;TRAKTORZYSTÓW 26;;02-495;WARSZAWA;;SPÓŁDZIELNIA;09.12.2013;52.197365899999994;20.886019842995154
SPÓŁDZIELNIA SOCJALNA "KTO RANO WSTAJE";0000479996;5272702701;14691233400000;UL. GEN. KAZIMIERZA SOSNKOWSKIEGO 29;;02-495;WARSZAWA;;SPÓŁDZIELNIA;07.10.2013;52.1929921;20.8859472
PAŁAC W KRUSZEWIE - SPÓŁDZIELNIA MEDYCZNA;0000469897;5272697006;14678483000000;UL. GRZYBOWSKA 87;;00-844;WARSZAWA;;SPÓŁDZIELNIA;16.07.2013;52.2322665;20.977763
SPÓŁDZIELNIA MIESZKANIOWA KOWIEŃSKA 9;0000451702;1132863112;14654591800000;KOWIEŃSKA 9;;03-438;WARSZAWA;;SPÓŁDZIELNIA;19.02.2013;52.26304605;21.039961651099876
"SPOŁEM" SPÓŁDZIELCZY OŚRODEK WYPOCZYNKOWY "ZORZA";0000451442;5213644511;14654824200000;GRAŻYNY 13/15;;02-548;WARSZAWA;;SPÓŁDZIELNIA;19.02.2013;52.2038215;21.0208395
SPÓŁDZIELNIA SOCJALNA WITALIZACJA;0000412527;5252529501;14606188200000;UL. KIERMASZOWA 14A;;01-364;WARSZAWA;;SPÓŁDZIELNIA;27.02.2012;52.2335471;20.916740455421785
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "SKARBOWIEC";0000410983;5250007046;00049054700000;GRÓJECKA 41;;02-031;WARSZAWA;;SPÓŁDZIELNIA;13.02.2012;52.21699205;20.982806684353115
SPÓŁDZIELNIA USŁUGOWA VIG EKSPERT W WARSZAWIE;0000405458;7010330228;14592696600000;AL. JEROZOLIMSKIE 162;;02-342;WARSZAWA;;SPÓŁDZIELNIA;15.12.2011;52.20777915;20.944117698915072
SPÓŁDZIELNIA SOCJALNA "RODZINA;0000398081;9512349058;14582622000000;SUROWIECKIEGO 8;57;02-785;WARSZAWA;;SPÓŁDZIELNIA;05.10.2011;52.1597601;21.0207126
CHRZEŚCIJAŃSKA SPÓŁDZIELNIA SOCJALNA "NASZ DOMEK";0000397218;5222990388;14581820200000;FR. KAWY 42;8;01-496;WARSZAWA;;SPÓŁDZIELNIA;27.09.2011;52.26069605;20.922772903713614
AKCES LAB - SPÓŁDZIELNIA SOCJALNA W LIKWIDACJI;0000395090;1132845686;14487889200000;AL. WASZYNGTONA 41;68;04-015;WARSZAWA;;SPÓŁDZIELNIA;05.09.2011;52.2431068;21.0742891
SPÓŁDZIELNIA MIESZKANIOWA "TARCZYŃSKA";0000394357;5213613953;14402059000000;UL. TARCZYŃSKA 5/9;;02-025;WARSZAWA;;SPÓŁDZIELNIA;23.08.2011;52.2230504;20.9889606
SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA "SPÓŁDZIELNIA MIELECKA";0000382149;5262340308;00049136300000;CECYLII ŚNIEGOCKIEJ 10;;00-430;WARSZAWA;;SPÓŁDZIELNIA;30.03.2011;52.22670725;21.035683952511114
SPÓŁDZIELNIA SOCJALNA "POKÓJ SZTUKI";0000372163;1132824371;14270658900000;UL. RADZYMIŃSKA 53;40;03-751;WARSZAWA;;SPÓŁDZIELNIA;03.12.2010;52.260817900000006;21.053426619335028
WARSZAWSKA SPÓŁDZIELNIA MIESZKANIOWA "GRÓJECKA";0000367513;7010264460;14262889500000;GRÓJECKA 77;;02-094;WARSZAWA;;SPÓŁDZIELNIA;13.10.2010;52.2121274;20.9792249
POLIGRAFICZNA SPÓŁDZIELNIA PRACY INTROGRAFIA;0000363238;9522095352;14255200500000;UL. WIŚNIOWA 50;;02-520;WARSZAWA;;SPÓŁDZIELNIA;19.08.2010;52.2082469;21.0146208
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "BOWIG";0000347590;5261048818;00049030000000;FILTROWA 61;;02-056;WARSZAWA;;SPÓŁDZIELNIA;09.03.2010;52.218746800000005;20.997194841880642
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "PODLEŚNA";0000330634;1181389194;00090109700000;KIWERSKA 1;;01-682;WARSZAWA;;SPÓŁDZIELNIA;19.06.2009;52.284080599999996;20.972244106207636
SPÓŁDZIELNIA MIESZKANIOWA "PERKUN";0000329877;1132763310;14186125300000;PERKUNA 56;;04-180;WARSZAWA;;SPÓŁDZIELNIA;19.05.2009;52.233092600000006;21.10253618746044
SPÓŁDZIELNIA MIESZKANIOWA "STARY IMIELIN";0000328279;9512319353;14187783400000;BOCIANIA 28;;02-807;WARSZAWA;;SPÓŁDZIELNIA;22.04.2009;52.14919505;21.021222257079998
SPÓŁDZIELNIA "KOOPERATYWA POZARZĄDOWA";0000314716;7010183690;14163632600000;UL. CHODAKOWSKA 24;11;03-828;WARSZAWA;;SPÓŁDZIELNIA;06.10.2008;52.25002765;21.066929067816297
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "DROGOWIEC-KABATY";0000310852;5271044673;00139379200000;R.MIELCZARSKIEGO 5;;02-798;WARSZAWA;;SPÓŁDZIELNIA;31.07.2008;52.1291353;21.0600942
KRAJOWY ZWIĄZEK GRUP PRODUCENTÓW OWOCÓW I WARZYW - SPÓŁDZIELNIA OSÓB PRAWNYCH;0000306904;5252449469;14145682500000;ŚWIĘTOKRZYSKA 20;321;00-002;WARSZAWA;;SPÓŁDZIELNIA;29.05.2008;52.2358264;21.0102384
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "NA BEDNARSKIEJ";0000287421;5251999535;00049005600000;BEDNARSKA 27;;00-321;WARSZAWA;;SPÓŁDZIELNIA;12.09.2007;52.244724149999996;21.015595068396667
SPÓŁDZIELNIA MIESZKANIOWA "IDEALNE MIESZKANIE-CENTRUM";0000283922;7010074073;14102905200000;HOŻA 43/49;;00-681;WARSZAWA;;SPÓŁDZIELNIA;29.06.2007;52.2252615;21.010239
SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA "BOYA 2";0000279277;7010086490;14107813900000;BOYA-ŻELEŃSKIEGO 2;;00-621;WARSZAWA;;SPÓŁDZIELNIA;16.06.2007;52.2134549;21.0202299
SPÓŁDZIELNIA DOMÓW JEDNORODZINNYCH "IWONKA" W LIKWIDACJI;0000277030;5212183999;01062830500000;BRUZDOWA 105;;02-991;WARSZAWA;;SPÓŁDZIELNIA;23.03.2007;52.1696029;21.114978454411673
SPÓŁDZIELNIA MIESZKANIOWA "KIWERSKA" W WARSZAWIE;0000275466;5250007017;00200321500000;KIWERSKA 14;;01-682;WARSZAWA;;SPÓŁDZIELNIA;28.02.2007;52.2836169;20.96777313642674
HANDLOWO-USŁUGOWA SPÓŁDZIELNIA OSÓB PRAWNYCH "SAMOPOMOC CHŁOPSKA" W WARSZAWIE;0000275133;5252389951;14091362800000;KOPERNIKA 30;;00-336;WARSZAWA;;SPÓŁDZIELNIA;28.02.2007;52.237274;21.0204879
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA CHATA;0000269602;1131459567;00049048700000;GROCHOWSKA 326;;03-838;WARSZAWA;;SPÓŁDZIELNIA;12.12.2006;52.24713945;21.059243414946803
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ATRIUM;0000268904;5251993768;00087419900000;WOLBROMSKA 61 I;;03-680;WARSZAWA;;SPÓŁDZIELNIA;07.12.2006;52.2836589;21.08225539900891
CENTRALNY ZWIĄZEK SPÓŁDZIELCZOŚCI RĘKODZIEŁA LUDOWEGO I ARTYSTYCZNEGO "CEPELIA" W LIKWIDACJI;0000267058;5250008086;00039876400000;UL. JASNA 1;420;00-013;WARSZAWA;;SPÓŁDZIELNIA;06.11.2006;52.2335931;21.0119722
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "DRNA";0000266765;5251575427;00049078300000;MICKIEWICZA 18;45;01-517;WARSZAWA;;SPÓŁDZIELNIA;30.10.2006;52.2623536;20.992835
SPÓŁDZIELNIA USŁUGOWA "NASZE OSIEDLE";0000266589;9512197714;14073994600000;M.SENGERA "CICHEGO" 4;2A;02-790;WARSZAWA;;SPÓŁDZIELNIA;26.10.2006;n;n
SPÓŁDZIELNIA MIESZKANIOWA "ORLIK-JANTAR";0000263802;1132633010;14068928900000;SALAMANDRY 3;;03-982;WARSZAWA;;SPÓŁDZIELNIA;18.09.2006;52.2258101;21.0916377
SPÓŁDZIELNIA MIESZKANIOWA "WILGA 2000";0000263785;1132633004;14069008000000;SZKOŁY ORLĄT 4;UŻYTKOWY 5;03-984;WARSZAWA;;SPÓŁDZIELNIA;15.09.2006;52.2286331;21.1065722
SPÓŁDZIELNIA MIESZKANIOWA "NASZA FAMILIA";0000263510;9511016047;01064820700000;DEMBEGO 12;;02-796;WARSZAWA;;SPÓŁDZIELNIA;11.09.2006;52.1315502;21.0758259
SPÓŁDZIELNIA MIESZKANIOWA "SZKLANY DOM";0000260415;1130213864;00049160100000;LONDYŃSKA 8;8;03-921;WARSZAWA;;SPÓŁDZIELNIA;13.07.2006;52.23437895;21.064547707896764
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA PRACOWNIKÓW PRZEMYSŁU CUKROWNICZEGO;0000254510;5250006526;00049124500000;ROZBRAT 34/36;;00-429;WARSZAWA;;SPÓŁDZIELNIA;05.04.2006;52.2264563;21.034930589727274
SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA "DOM ROZBRAT";0000251730;5261670529;00049123900000;ROZBRAT 6;;00-451;WARSZAWA;;SPÓŁDZIELNIA;24.02.2006;52.2224607;21.035848663595452
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "OGNISKO";0000250524;5251000891;00048991700000;AL. NIEPODLEGŁOŚCI 210;;00-608;WARSZAWA;;SPÓŁDZIELNIA;14.02.2006;52.217627;21.0054501
MIĘDZYZAKŁADOWA SPÓŁDZIELNIA MIESZKANIOWA "GRABÓW";0000244952;9510024926;00090420400000;PUŁAWSKA 300 A;;02-819;WARSZAWA;;SPÓŁDZIELNIA;15.11.2005;52.14740745;21.01696766943519
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA NAUCZYCIELI SZKÓŁ ŚREDNICH "ZNICZ";0000242346;5251736528;00049080800000;MICKIEWICZA 37;;01-625;WARSZAWA;;SPÓŁDZIELNIA;29.09.2005;52.2727756;20.982704516523953
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "PUŁAWIANKA";0000237805;9511961656;00049185400000;PUŁAWSKA 483;;02-844;WARSZAWA;;SPÓŁDZIELNIA;12.07.2005;52.1330479;21.01857407094281
"NOWOSIELECKA" SPÓŁDZIELNIA MIESZKANIOWA;0000234840;5262870495;14015959700000;NOWOSIELECKA 14A;;00-466;WARSZAWA;;SPÓŁDZIELNIA;15.06.2005;52.211410900000004;21.046380956385928
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA BRATNIAK;0000232999;5250012981;00087284600000;ŚNIADECKICH 17A;24;00-654;WARSZAWA;;SPÓŁDZIELNIA;03.06.2005;52.2206179;21.0136316
SPÓŁDZIELCZE STOWARZYSZENIE MIESZKANIOWE "MOJE MIESZKANIE";0000231960;1132548014;14011934000000;KOWELSKA 4;33;03-432;WARSZAWA;;SPÓŁDZIELNIA;07.04.2005;52.262114350000004;21.040831069832457
MŁODZIEŻOWA SPÓŁDZIELNIA MIESZKANIOWA PRACOWNIKÓW "RÓŻY";0000231029;5250012538;00107188700000;MIEDZIANA 14;;00-835;WARSZAWA;;SPÓŁDZIELNIA;07.04.2005;52.2299175;20.9904348
WŁASNOŚCIOWA SPÓŁDZIELNIA MIESZKANIOWA "HOŻA 5-7";0000230579;5250007098;01205304000000;HOŻA 5/7;81;00-528;WARSZAWA;;SPÓŁDZIELNIA;17.03.2005;52.2276265;21.0212473
SPÓŁDZIELNIA MIESZKANIOWA "MERKURY SZCZĘŚLIWICE";0000230555;5261736228;00098193700000;URBANISTÓW 1;;02-397;WARSZAWA;;SPÓŁDZIELNIA;17.03.2005;52.2070071;20.9674253
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "ZACISZE";0000224390;5212893092;00049130500000;SŁONECZNA 50;;00-789;WARSZAWA;;SPÓŁDZIELNIA;28.12.2004;52.20961095;21.025005737698102
SPÓŁDZIELNIA DOMKÓW JEDNORODZINNYCH "JANOWSKIEGO-BASZTA";0000224384;9511205446;01210739000000;JANOWSKIEGO ALEKSANDRA 2;;02-784;WARSZAWA;;SPÓŁDZIELNIA;20.12.2004;52.15274745;21.021171726592264
SPÓŁDZIELNIA MIESZKANIOWA "STARÓWKA" W WARSZAWIE;0000224292;5250012260;00048977400000;PAŃSKA 59;;00-830;WARSZAWA;;SPÓŁDZIELNIA;17.12.2004;52.231817449999994;20.995455251052288
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "GŻEGŻÓŁKI";0000221082;9512125956;01587339200000;GŻEGŻÓŁKI 10;;02-804;WARSZAWA;;SPÓŁDZIELNIA;09.11.2004;52.14984965;21.0281558689088
SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA "RONDO";0000218909;5210418004;00049122200000;UL. TADEUSZA REJTANA 9A;3;02-516;WARSZAWA;;SPÓŁDZIELNIA;06.10.2004;52.20758805;21.01962716363696
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "SAMODZIELNA";0000217738;5251000394;00049101500000;ORLA 8;;00-143;WARSZAWA;;SPÓŁDZIELNIA;22.09.2004;52.24988225;21.253847373465476
SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA "NASZA";0000212657;5212753907;00049008500000;BELGIJSKA 12;;02-511;WARSZAWA;;SPÓŁDZIELNIA;12.07.2004;52.202748150000005;21.024508871419762
SPÓŁDZIELNIA MIESZKANIOWA "RODZINKA";0000212445;5222236651;01085081900000;WOJCIECHOWSKIEGO 35;;02-495;WARSZAWA;;SPÓŁDZIELNIA;12.07.2004;52.194832149999996;20.872344214548924
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "DZIENNIKARZ";0000211268;5261737802;01251074300000;BIAŁOBRZESKA 68;99;02-325;WARSZAWA;;SPÓŁDZIELNIA;29.06.2004;52.220961450000004;20.97868101646018
SPÓŁDZIELNIA MIESZKANIOWA " ZWYCIĘZCÓW";0000211048;1132486448;01575602500000;ZWYCIĘZCÓW 4 D;;03-941;WARSZAWA;;SPÓŁDZIELNIA;24.06.2004;52.22963275;21.05186964198697
SPÓŁDZIELNIA MIESZKANIOWA "WASZYNGTONA";0000210997;1132486313;01575495400000;KINOWA 19;;04-030;WARSZAWA;;SPÓŁDZIELNIA;23.06.2004;52.2423986;21.0702704
SPÓŁDZIELNIA MIESZKANIOWA "PRZYCZÓŁEK GROCHOWSKI";0000210996;1132486336;01575494800000;OSTRZYCKA 2/4;;04-035;WARSZAWA;;SPÓŁDZIELNIA;23.06.2004;52.2341463;21.0784591
KRAJOWY SAMORZĄDOWY FUNDUSZ POŻYCZKOWY - SPÓŁDZIELNIA OSÓB PRAWNYCH;0000210493;5252299449;01575503700000;MIODOWA 14;;00-246;WARSZAWA;;SPÓŁDZIELNIA;22.06.2004;52.247394;21.0095655
SPÓŁDZIELNIA MIESZKANIOWA "MONOLIT";0000209737;5272140982;00092807300000;DEOTYMY 19/21;;01-407;WARSZAWA;;SPÓŁDZIELNIA;15.06.2004;52.241692799999996;20.947926615247255
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "ZIMOWE LEŻE";0000206656;5250012811;00049132800000;SŁOWACKIEGO 27/33;;01-592;WARSZAWA;;SPÓŁDZIELNIA;17.05.2004;52.2708541;20.9762064
SPÓŁDZIELNIA MIESZKANIOWA MICKIEWICZA POTOK;0000201902;5252295167;01570930400000;MICKIEWICZA 70;90;01-650;WARSZAWA;;SPÓŁDZIELNIA;30.03.2004;52.2784914;20.98140345195001
